question,ground_truth,predicted,correct,generated_text,rag_used
"බුදු දහමට අනුව විභව තණ්හාව යනු,...",C,A,False,A,False
"කර්මයක් ලෙස දහමෙහි විස්තර කර ඇත්තේ,...",D,A,False,A,False
˝ලෝකයේ සතරාකාර පුද්ගලයින් වෙතියි˝ බුදුරජාණන් වහන්සේ පැහැදිලි කර ඇත. මින් ආත්මාර්...,B,A,False,A,False
"බුදුරජාණන් වහන්සේ දම්සක් පැවතුම් සූත්‍රය නම් මංගල ධර්ම දේශනාව පැවැත් වූයේ,...",B,A,False,A,False
පළමු ධර්ම සංගායනාවේදී ආනන්ද තෙරණුවන් ප්‍රධාන ශිෂ්‍ය පරම්පරාවට පවත්වාගෙන යාමට භාර...,B,A,False,A,False
"රාජ පූජිත සෝණදණ්ඩ නම් බමුණාගේ ප්‍රකාශය අනුව බුදු රජාණන් වහන්සේ "" සම්මෝදකය ”, එනම...",B,D,False,D,False
"ගුරු බස සැබෑමය '' යන පද්‍යය ඇතුළත් වන්නේ,...",C,A,False,A,False
"සැරියුත් තෙරණුවෝ රහත් වූයේ බුදුරජාණන් වහන්සේ විසින් "" දීඝනක "" පිරිවැජියාට දේශනා ...",D,A,False,A,False
"ආනන්තර්ය පාප කර්මයට අයත් වන්නේ,...",C,A,False,A,False
චණ්ඩාශෝක රජතුමා ධර්මාශෝක මහ අධිරාජයාණන් බවට පරිවර්තනය කළේ කුඩා සාමණේරයන් වහන්සේ ...,B,A,False,A,False
"˝ධම්මං චරේ සුචරිතං - දුස්චරිතං න තං චරේ
ධම්මචාරී සුඛං සේති - අස්මිං ලෝකේ පරම්හි ...",D,A,False,A,False
ජාතක කථා පන්සිය හතලිස් හතක් ඇතුළත් ග්‍රන්ථය වන පන්සිය පනස් ජාතක පොත් වහන්සේ ලියව...,C,A,False,A,False
"කෝට්ටේ යුගයේ ලියවුණු කාව්‍යශේඛරය නම් මහා කාව්‍ය ග්‍රන්ථය රචනා කරන ලද්දේ,...",B,A,False,A,False
බුදු රජාණන් වහන්සේට වෛර කිරීමේ විපාක ලෙස බුදුන්වහන්සේ ජීවමානව සිටියදීම අවීචි මහා...,D,A,False,A,False
"සතර සංග්‍රහ වස්තු හෙවත් සිව් සඟරාවත් වලට මේවායින් අයත් වන්නේ,...",C,A,False,A,False
බුදුරජාණන් වහන්සේ සියලු සංස්කාර ධර්මයන්ගේ අනිත්‍යතාව තම ජීවිතයෙන් පෙන්වා දෙමින් ...,B,A,False,A,False
"පළමු ධර්ම සංගායනාවට සහභාගී වූ භික්ෂුන් වහන්සේලා ගණන වන්නේ,...",B,A,False,A,False
"දළදා වහන්සේ පිළිබඳව ලියවුණ පැරණිම ග්‍රන්ථය වන්නේ,...",B,A,False,A,False
"නිතර නිතර රැස්වීම, සමඟව රැස්ව, සමඟිව සාකච්ඡා කොට, සමගිව විසිරයාම වැනි කරුණු ඇතුළ...",D,A,False,A,False
කාන්තාවන්ට පළමුවෙන්ම පැවිද්ද ලබා දීමට ඉදිරිපත් වූ හිමි නමකි ....,C,A,False,A,False
""" ගුරු බස සැබෑ ම ය එය පිළිගැනුම යුතු ම ය ... "" මෙම පද්‍යය ඇතුළත් කෘතිය වන්නේ ,...",B,A,False,A,False
ධර්ම රත්නයේ ගුණ ඇතුළත් පාඨයෙහි කරුණු කීයක් සඳහන්වේ ද ?...,B,A,False,A,False
"බුදු ගුණ ඇතුළත් මංගල අෂ්ඨක ගායනය සිදු කරනු ලබන්නේ ,...",C,B,False,B,False
"සම්මා සම්බුද්ධ , විජ්ජාචරණ සම්පන්න , ලෝක විදූ , සුගත යන මෙම ගුණ ඇතුළත් වන්නේ ,...",B,A,False,A,False
"කෝලිත , උපතිස්ස යන දෙදෙනාව ශාසනයට ඇතුළත් වූ පසුව හඳුන්වනු ලැබුවේ ,...",B,A,False,A,False
""" මුසාවාදා වේරමණි සික්ඛාපදං සමාදියාමි "" යන ශික්ෂා පදයෙහි අර්ථය වන්නේ ,...",C,A,False,A,False
"භික්ෂූන් වහන්සේලා උදෙසා බුදුරදුන් විසින් පනවා ඇති සේඛියා ධර්ම රාශියකි.මෙහි "" සේඛ...",D,A,False,A,False
"සිගාලෝවාද සූත්‍රයට අනුව සම්මාන කිරීම අවමන් නොකිරීම යන යුතුකම් ඉටු කරනු ලබන්නේ ,...",D,C,False,C,False
සිදුහත් බෝසතුන් ප්‍රඥාවෙන් අග තැන්පත් බව දැක්වෙන ජාතක කතාවකි ....,C,A,False,A,False
"අරියවංශ දේශනාව යනු ,...",B,A,False,A,False
"දම්සක් පැවතුම් සූත්‍රයට අනුව චතුරාර්ය සත්‍ය තුළ ඇතුළත් පළමු ආර්ය සත්‍ය වන්නේ ,
...",C,D,False,D,False
"කාම , භව , විභව යනුවෙන් හඳුන් වන්නේ ,...",C,A,False,A,False
